Unnamed: 0,SID,COHORT,RACE_ETHNICITY,GENDER,FIRST_GEN_STATUS,HS_GPA,HS_MATH_GPA,HS_ENGL_GPA,COLLEGE,UNITS_ATTEMPTED_1,UNITS_ATTEMPTED_2,UNITS_ATTEMPTED_3,UNITS_ATTEMPTED_4,UNITS_COMPLETED_1,UNITS_COMPLETED_2,UNITS_COMPLETED_3,UNITS_COMPLETED_4,DFW_UNITS_1,DFW_UNITS_2,DFW_UNITS_3,DFW_UNITS_4,GPA_1,GPA_2,GPA_3,GPA_4,CUM_GPA_1,CUM_GPA_2,CUM_GPA_3,CUM_GPA_4,SEM_1_STATUS,SEM_2_STATUS,SEM_3_STATUS,SEM_4_STATUS,SEM_5_STATUS,SEM_6_STATUS,SEM_7_STATUS,SEM_8_STATUS
757,313OF556V,Fall 2018,Hispanic,Female,First Generation,3.420000,3.000000,2.880000,University Programs,12.0,13.0,15.0,12.0,12.0,10.0,15.0,12.0,0.0,3.0,0.0,0.0,2.5,1.8461538461538465,3.8,3.75,2.5,2.16,2.775,3.0,C,C,C,C,C,C,C,C
9905,8X3CH5VG3,Fall 2018,Black or African American,Male,Continuing Generation,3.300000,3.250000,3.000000,Business,12.0,13.0,9.0,12.0,6.0,13.0,0.0,0.0,9.0,0.0,12.0,16.0,1.75,2.769230769230769,0.0,0.0,1.75,2.28,1.6764705882352942,1.2391304347826086,C,C,C,C,C,C,NR,NR
33922,8J0AIA476,Fall 2018,Hispanic,Female,First Generation,3.270000,2.170000,3.000000,University Programs,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,C,NR,NR,NR,NR,NR,NR,NR
22175,HBU0KP265,Fall 2018,Asian,Female,Continuing Generation,3.390000,2.900000,3.500000,Business,13.0,15.0,14.0,13.0,13.0,15.0,14.0,13.0,0.0,0.0,0.0,0.0,3.5384615384615383,3.6,3.7142857142857135,3.5384615384615383,3.5384615384615383,3.571428571428572,3.619047619047619,3.6,C,C,C,C,C,C,GD,GD
44236,JM1RAPZX2,Fall 2018,Hispanic,Male,Continuing Generation,3.220000,3.000000,3.400000,Business,16.0,15.0,15.0,12.0,16.0,15.0,15.0,15.0,0.0,0.0,0.0,0.0,3.8125,3.8,3.8,4.0,3.8125,3.806451612903226,3.804347826086957,3.844827586206896,C,C,C,C,NR,C,GD,GD
