STUDENT_TYPE,ADMISSION_YEAR,ADMISSION_TERM,COHORT,TOTAL_APPLIED,TOTAL_ADMITTED,TOTAL_ENROLLED
FYS,2010,Fall,Fall 2010,42815,14800,3573
FYS,2011,Spring,Spring 2011,1536,1535,585
FYS,2011,Fall,Fall 2011,44735,13638,3603
FYS,2012,Spring,Spring 2012,19,15,14
FYS,2012,Fall,Fall 2012,49458,15296,3870
