SID,SEMESTER_GPA1,SEMESTER_GPA2,SEMESTER_GPA3,SEMESTER_GPA4,SEMESTER_GPA5,SEMESTER_GPA6,SEMESTER_GPA7,SEMESTER_GPA8,CUM_GPA1,CUM_GPA2,CUM_GPA3,CUM_GPA4,CUM_GPA5,CUM_GPA6,CUM_GPA7,CUM_GPA8
0011HEK9O,4.0,4.0,4.0,4.0,3.8333333333333335,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.9642857142857144,3.9696969696969697,3.972972972972973,3.975
0016QGCJJ,3.0,3.0,4.0,3.0,4.0,4.0,3.25,4.0,3.0,3.0,3.3,3.2142857142857144,3.3529411764705883,3.5217391304347827,3.4814814814814814,3.533333333333333
004SQV7B7,3.4,2.2857142857142856,3.2142857142857144,3.3333333333333335,3.75,3.4,3.4,3.75,3.4,2.8620689655172415,2.9767441860465116,3.0384615384615383,3.171875,3.2151898734177213,3.24468085106383,3.30188679245283
006BNDF62,3.4,2.8,2.5625,3.4,3.6666666666666665,2.4,2.8,2.25,3.4,3.1,2.9130434782608696,3.0327868852459017,3.1772151898734178,3.0531914893617023,3.018348623853211,2.9421487603305785
006FULHV9,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,3.0,3.272727272727273,3.4146341463414633,3.5,3.5789473684210527,3.6307692307692307,3.6470588235294117
